train/policy_loss,train/std,train/learning_rate,train/entropy_loss,train/n_updates,time/fps,train/explained_variance,time/time_elapsed,time/iterations,train/value_loss,train/reward,time/total_timesteps
16.41290855407715,1.0021084547042847,0.0007,-41.1993293762207,99,81,-1.1920928955078125e-07,6,100,0.7280831336975098,0.62633353,500
-7.285778999328613,1.001796007156372,0.0007,-41.197837829589844,199,82,-0.054590702056884766,12,200,3.237370729446411,0.36195764,1000
-125.036865234375,1.0030791759490967,0.0007,-41.2393913269043,299,83,0.037193238735198975,17,300,16.96023178100586,-4.675703,1500
-150.76434326171875,1.0017194747924805,0.0007,-41.20029067993164,399,83,0.0,23,400,19.848526000976562,1.1743615,2000
-137.3061981201172,0.9993016719818115,0.0007,-41.119956970214844,499,83,0.0,29,500,20.87995147705078,0.4625783,2500
5.679067134857178,0.9998242855072021,0.0007,-41.145938873291016,599,83,1.1920928955078125e-07,35,600,0.0585843101143837,-0.032313175,3000
49.58637237548828,1.0010485649108887,0.0007,-41.17134475708008,699,84,-0.9183286428451538,41,700,2.360795497894287,-1.5076665,3500
14.0443115234375,1.0017814636230469,0.0007,-41.1876335144043,799,84,-1.1920928955078125e-07,47,800,1.4255269765853882,0.41269603,4000
-54.48431396484375,1.001266598701477,0.0007,-41.181880950927734,899,84,0.0,53,900,16.158069610595703,3.7011082,4500
-349.8597106933594,1.0035027265548706,0.0007,-41.240562438964844,999,84,0.0,59,1000,156.41317749023438,7.7842946,5000
24.093530654907227,1.0029988288879395,0.0007,-41.226497650146484,1099,84,0.0008710622787475586,64,1100,36.84154510498047,3.9504757,5500
-71.98206329345703,1.0018980503082275,0.0007,-41.19033432006836,1199,84,0.0,70,1200,3.9725253582000732,-1.0776598,6000
-39.416358947753906,1.0018260478973389,0.0007,-41.19456481933594,1299,84,-0.14402234554290771,76,1300,1.3257982730865479,0.6603454,6500
101.72315979003906,1.0048481225967407,0.0007,-41.27244567871094,1399,84,0.0,82,1400,6.2016401290893555,1.0908237,7000
135.01651000976562,1.0047155618667603,0.0007,-41.2734375,1499,84,0.0,88,1500,19.568012237548828,-0.21638054,7500
43.422950744628906,1.002935767173767,0.0007,-41.21187973022461,1599,84,3.6954879760742188e-06,94,1600,20.408573150634766,6.2677636,8000
654.6287231445312,1.0059888362884521,0.0007,-41.29907989501953,1699,84,-1.1920928955078125e-07,100,1700,234.6309051513672,8.51142,8500
-139.34378051757812,1.0044711828231812,0.0007,-41.26180648803711,1799,84,-0.2021787166595459,106,1800,14.1740083694458,0.42036706,9000
-133.85382080078125,1.0047729015350342,0.0007,-41.26463317871094,1899,84,-3.0994415283203125e-06,112,1900,12.597389221191406,-0.40487543,9500
33.804710388183594,1.0085440874099731,0.0007,-41.38036346435547,1999,84,-1.1920928955078125e-07,118,2000,1.3833483457565308,-0.080219164,10000
-49.396480560302734,1.0100537538528442,0.0007,-41.418087005615234,2099,84,1.1920928955078125e-07,123,2100,2.64699125289917,2.7386277,10500
59.45178985595703,1.0149909257888794,0.0007,-41.564815521240234,2199,84,-1.1920928955078125e-07,129,2200,5.329779624938965,-6.870247,11000
687.8790893554688,1.0125712156295776,0.0007,-41.49164581298828,2299,84,0.0,135,2300,326.14434814453125,1.8229656,11500
65.00618743896484,1.0134960412979126,0.0007,-41.5189208984375,2399,84,-0.07439351081848145,141,2400,2.9349024295806885,-0.1930041,12000
-87.63990783691406,1.0151619911193848,0.0007,-41.56746292114258,2499,84,0.0,147,2500,6.822020053863525,1.3104069,12500
14.441839218139648,1.0157983303070068,0.0007,-41.585479736328125,2599,84,0.08855181932449341,153,2600,0.8312293291091919,0.45786756,13000
-12.665542602539062,1.0174205303192139,0.0007,-41.62468719482422,2699,85,0.0,158,2700,0.27860555052757263,-1.1408083,13500
-219.5942840576172,1.0188908576965332,0.0007,-41.675018310546875,2799,85,0.0,163,2800,30.159862518310547,-1.0285538,14000
133.3982696533203,1.0183111429214478,0.0007,-41.65635681152344,2899,85,0.0,169,2900,16.20937156677246,0.14652966,14500
22.657941818237305,1.019169807434082,0.0007,-41.67936706542969,2999,85,0.7782269716262817,176,3000,0.3000374734401703,-0.6319717,15000
-81.09913635253906,1.0194817781448364,0.0007,-41.691993713378906,3099,85,0.0,182,3100,6.676930904388428,0.7724515,15500
51.62994384765625,1.0191322565078735,0.0007,-41.68138885498047,3199,85,0.0,187,3200,2.728428363800049,-0.3002045,16000
-71.26048278808594,1.0197038650512695,0.0007,-41.693397521972656,3299,85,0.0,193,3300,3.4369800090789795,-1.2263615,16500
-272.9718322753906,1.0206058025360107,0.0007,-41.71928405761719,3399,85,0.0,199,3400,76.86474609375,-0.9963952,17000
284.43475341796875,1.0196248292922974,0.0007,-41.69499969482422,3499,85,0.0,205,3500,53.09161376953125,1.7492869,17500
10.488874435424805,1.0196079015731812,0.0007,-41.6856803894043,3599,85,-1.1920928955078125e-07,210,3600,0.09026918560266495,0.31025052,18000
-4.947835922241211,1.0187135934829712,0.0007,-41.67116165161133,3699,85,-2.384185791015625e-07,216,3700,1.1588224172592163,-1.1046163,18500
117.5391616821289,1.0203131437301636,0.0007,-41.71434020996094,3799,85,0.007022559642791748,222,3800,12.33240032196045,0.02067519,19000
10.136357307434082,1.020497441291809,0.0007,-41.71287536621094,3899,85,5.960464477539063e-08,228,3900,0.8333727121353149,0.091318026,19500
-59.413360595703125,1.021248698234558,0.0007,-41.735748291015625,3999,85,0.0,234,4000,5.089967727661133,-4.859773,20000
-30.627389907836914,1.0212407112121582,0.0007,-41.74129104614258,4099,85,0.0,240,4100,9.601102828979492,-2.0203118,20500
35.63444900512695,1.0212397575378418,0.0007,-41.740692138671875,4199,85,1.1920928955078125e-07,246,4200,1.8541834354400635,-1.7827941,21000
53.181678771972656,1.021661400794983,0.0007,-41.75479507446289,4299,85,-1.1920928955078125e-07,251,4300,2.294483184814453,-0.14489056,21500
-37.26644515991211,1.0241364240646362,0.0007,-41.81105041503906,4399,85,-1.1920928955078125e-07,257,4400,1.495192289352417,-3.094487,22000
75.3279800415039,1.0260071754455566,0.0007,-41.873443603515625,4499,85,-0.002352118492126465,263,4500,5.429699897766113,3.5512023,22500
240.97879028320312,1.0264461040496826,0.0007,-41.876949310302734,4599,85,0.0,269,4600,42.89811706542969,-0.742158,23000
112.21455383300781,1.0268707275390625,0.0007,-41.886802673339844,4699,85,0.0,274,4700,13.691314697265625,5.309504,23500
-19.244844436645508,1.0304752588272095,0.0007,-41.989402770996094,4799,85,0.0,279,4800,1.3158835172653198,-0.47870958,24000
96.6544189453125,1.03342866897583,0.0007,-42.07568359375,4899,85,0.0,285,4900,6.72311544418335,-0.31649223,24500
-116.25826263427734,1.0332955121994019,0.0007,-42.074459075927734,4999,86,0.025304973125457764,290,5000,7.773320198059082,0.73555714,25000
326.1701965332031,1.035834789276123,0.0007,-42.1539306640625,5099,86,5.960464477539063e-08,296,5100,70.65607452392578,0.88454837,25500
7.533524990081787,1.0380955934524536,0.0007,-42.20466613769531,5199,86,0.0,301,5200,3.0765624046325684,-1.1829292,26000
6.891910552978516,1.0380253791809082,0.0007,-42.20674133300781,5299,86,5.960464477539063e-08,307,5300,3.6213409900665283,-3.7915921,26500
-77.01213073730469,1.0373367071151733,0.0007,-42.18560028076172,5399,86,1.1920928955078125e-07,313,5400,3.5955779552459717,-1.1908143,27000
38.652435302734375,1.0364038944244385,0.0007,-42.16238021850586,5499,86,-1.1920928955078125e-07,318,5500,1.2102198600769043,1.0026859,27500
-75.68338775634766,1.037034034729004,0.0007,-42.18216323852539,5599,86,5.960464477539063e-08,324,5600,8.793947219848633,0.14051764,28000
-84.12744903564453,1.0362404584884644,0.0007,-42.15668869018555,5699,86,0.0,330,5700,5.241618633270264,0.21797116,28500
180.76934814453125,1.0348141193389893,0.0007,-42.11888122558594,5799,86,0.0007656216621398926,336,5800,36.13419723510742,1.5011417,29000
-316.86041259765625,1.0362215042114258,0.0007,-42.1585578918457,5899,86,5.960464477539063e-08,341,5900,58.301536560058594,-1.4217628,29500
-182.262451171875,1.0377391576766968,0.0007,-42.200782775878906,5999,86,0.0,347,6000,21.0659122467041,1.0592325,30000
22.53368377685547,1.0376189947128296,0.0007,-42.19607162475586,6099,86,0.0,353,6100,0.7037860155105591,1.3154964,30500
-128.1559600830078,1.0393497943878174,0.0007,-42.23622131347656,6199,86,5.960464477539063e-08,359,6200,33.28636932373047,-3.2871566,31000
28.40310287475586,1.0390827655792236,0.0007,-42.239253997802734,6299,86,-0.15366685390472412,365,6300,1.736122727394104,0.40299624,31500
155.69056701660156,1.0405347347259521,0.0007,-42.27881622314453,6399,86,0.0,371,6400,24.683618545532227,5.8767405,32000
103.63664245605469,1.0384465456008911,0.0007,-42.223899841308594,6499,86,-1.1920928955078125e-07,377,6500,48.19083023071289,1.8845781,32500
-142.60171508789062,1.0398650169372559,0.0007,-42.25993728637695,6599,86,5.960464477539063e-08,383,6600,12.112504005432129,-2.1067514,33000
30.643041610717773,1.0397844314575195,0.0007,-42.25425338745117,6699,86,0.0,388,6700,0.6025834083557129,1.0697378,33500
58.21198272705078,1.041334867477417,0.0007,-42.29640197753906,6799,86,0.0,394,6800,4.684499740600586,-2.0590513,34000
29.59356117248535,1.0416547060012817,0.0007,-42.30780792236328,6899,86,0.0,400,6900,1.1979185342788696,2.189615,34500
-35.24824905395508,1.0384185314178467,0.0007,-42.21609115600586,6999,86,-1.1920928955078125e-07,406,7000,8.075560569763184,2.5315628,35000
-18.081649780273438,1.0370838642120361,0.0007,-42.17552947998047,7099,86,0.0,412,7100,0.1929301917552948,0.45730627,35500
22.64162826538086,1.0401784181594849,0.0007,-42.26103210449219,7199,86,-1.1920928955078125e-07,418,7200,0.37417083978652954,1.8822854,36000
-40.4036979675293,1.041734218597412,0.0007,-42.30348587036133,7299,86,-1.1920928955078125e-07,423,7300,1.2034204006195068,-0.15590581,36500
-207.6005401611328,1.044195532798767,0.0007,-42.369293212890625,7399,86,0.0,429,7400,31.508907318115234,1.9937078,37000
48.86896514892578,1.0440728664398193,0.0007,-42.36579895019531,7499,86,0.0,435,7500,1.674073576927185,4.8681993,37500
92.98390197753906,1.047623634338379,0.0007,-42.47408676147461,7599,86,0.0,441,7600,11.470632553100586,7.616307,38000
43.89824676513672,1.047204613685608,0.0007,-42.450706481933594,7699,86,0.0,447,7700,1.0963157415390015,0.18490599,38500
87.51548767089844,1.0466485023498535,0.0007,-42.4338264465332,7799,86,0.0,453,7800,5.804610252380371,-1.0472379,39000
-174.47122192382812,1.0470908880233765,0.0007,-42.43779754638672,7899,86,0.0,459,7900,20.943492889404297,1.3357419,39500
-8.408926010131836,1.047892689704895,0.0007,-42.4689826965332,7999,85,1.1920928955078125e-07,465,8000,0.5344170331954956,0.814416,40000
-693.9605712890625,1.048444390296936,0.0007,-42.485740661621094,8099,85,0.0,471,8100,322.1277770996094,8.9292345,40500
-1791.2445068359375,1.0507892370224,0.0007,-42.5517692565918,8199,85,-1.1920928955078125e-07,476,8200,2073.62841796875,-21.972399,41000
-151.34620666503906,1.0499569177627563,0.0007,-42.52515411376953,8299,85,0.0,482,8300,20.135950088500977,-1.2320234,41500
-92.30003356933594,1.0493580102920532,0.0007,-42.508182525634766,8399,85,0.037259817123413086,488,8400,5.771874904632568,0.10143833,42000
-8.487075805664062,1.0507397651672363,0.0007,-42.553470611572266,8499,85,-2.384185791015625e-07,494,8500,1.3181591033935547,2.039359,42500
-28.62417984008789,1.053139090538025,0.0007,-42.61086654663086,8599,85,0.0,500,8600,1.7686723470687866,1.9747458,43000
-158.84042358398438,1.0548955202102661,0.0007,-42.65224838256836,8699,85,-1.1920928955078125e-07,506,8700,27.461111068725586,3.0265152,43500
547.6241455078125,1.055633783340454,0.0007,-42.67729949951172,8799,85,0.0,512,8800,179.90408325195312,-2.3042579,44000
120.5399398803711,1.0564519166946411,0.0007,-42.6929817199707,8899,85,0.0,518,8900,8.277878761291504,1.9695029,44500
130.2889862060547,1.0600416660308838,0.0007,-42.79130554199219,8999,85,0.0,524,9000,9.154455184936523,0.90342844,45000
75.62857055664062,1.062964916229248,0.0007,-42.8741455078125,9099,85,5.960464477539063e-08,529,9100,3.5157742500305176,-1.6556325,45500
139.72312927246094,1.064589500427246,0.0007,-42.91658401489258,9199,86,0.0,534,9200,12.180522918701172,-0.02853091,46000
171.83438110351562,1.0654065608978271,0.0007,-42.94406509399414,9299,86,-0.06637287139892578,540,9300,17.84743309020996,4.2006545,46500
210.76760864257812,1.0652787685394287,0.0007,-42.936363220214844,9399,86,-1.1920928955078125e-07,545,9400,49.546058654785156,4.64752,47000
-10.031691551208496,1.066754698753357,0.0007,-42.974708557128906,9499,86,-0.8456565141677856,550,9500,0.9955610036849976,0.3984737,47500
17.661922454833984,1.0670589208602905,0.0007,-42.980995178222656,9599,86,0.0,555,9600,1.4489084482192993,-0.9784586,48000
44.736000061035156,1.067456841468811,0.0007,-42.99140167236328,9699,86,0.0,561,9700,1.2992786169052124,-0.6710632,48500
-103.6160888671875,1.0673836469650269,0.0007,-42.98313903808594,9799,86,0.0,566,9800,6.854550361633301,-0.27721503,49000
-201.41818237304688,1.0685200691223145,0.0007,-43.023582458496094,9899,86,0.0,571,9900,21.52859115600586,2.2280135,49500
219.49826049804688,1.06819748878479,0.0007,-43.01677703857422,9999,86,-1.1920928955078125e-07,577,10000,129.23199462890625,-21.58969,50000
